tt,datetime,address,result,type,lng,lat,district
,107年11月10日 06時16分00秒,臺中市太平區永成里長億路前0.0公尺,死亡1;受傷0,民營公車-大客車;行人-人,120.721526,24.119926,太平區
,107年06月26日 10時28分18秒,臺中市沙鹿區西勢里中航路1段168號,死亡1;受傷0,民營客運-大客車;行人-人,120.59905,24.253215,沙鹿區
,107年05月01日 08時09分00秒,臺中市北屯區仁美里崇德路前0.0公尺,死亡1;受傷0,自用-大貨車;腳踏自行車-慢車,120.696033,24.168166,北屯區
,107年07月24日 11時40分00秒,臺中市大甲區建興里西濱快速公路前0.0公尺,死亡1;受傷3,自用-大貨車;營業用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);自用-曳引車;乘客-人,120.618869,24.419461,大甲區
,107年01月16日 05時32分19秒,臺中市龍井區國道3號 183公里700.0公尺處北向外側,死亡1;受傷3,自用-大貨車;營業用-半聯結車;自用-小客車;自用-小客車;自用-小貨車(含客、貨兩用);乘客-人;乘客-人,120.552464,24.185589,龍井區
,107年04月21日 20時24分00秒,臺中市大肚區社腳里沙田路二段2巷前0.0公尺,死亡1;受傷0,自用-小客車;大型重型1(550C.C.以上)-機車,120.552825,24.135894,大肚區
,107年09月17日 19時48分00秒,臺中市神岡區國道4號 13公里200.0公尺處西側向內側,死亡1;受傷1,自用-小客車;自用-小客車;其他人-人;自用-小客車;營業用-半聯結車,120.684181,24.270106,神岡區
,107年08月06日 08時55分00秒,臺中市大肚區王田里沙田路一段前0.0公尺,死亡1;受傷1,自用-小客車;自用-小客車;乘客-人,120.576189,24.118993,大肚區
,107年11月09日 14時51分00秒,臺中市梧棲區頂寮里四維中路157巷前0.0公尺,死亡1;受傷0,自用-小客車;自用-小客車;普通重型-機車,120.537341,24.260238,梧棲區
,107年10月13日 08時18分00秒,臺中市大肚區國道1號 188公里700.0公尺處北側向中線,死亡1;受傷0,自用-小客車;自用-小貨車(含客、貨兩用),120.576835,24.130027,大肚區
,107年07月19日 08時00分12秒,臺中市清水區國道3號 168公里300.0公尺處北側向路肩,死亡1;受傷2,自用-小客車;自用-小貨車(含客、貨兩用);其他人-人,120.602666,24.296656,清水區
,107年01月30日 15時54分00秒,臺中市北屯區平昌里北平路前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.694107,24.170224,北屯區
,107年02月17日 21時50分00秒,臺中市豐原區社皮里豐原大道一段前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.703267,24.246409,豐原區
,107年04月10日 22時20分00秒,臺中市南區城煌里建成路前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.684096,24.128994,南區
,107年05月02日 18時40分00秒,臺中市北屯區大坑里東山路二段96之8號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.747541,24.195708,北屯區
,107年05月09日 14時15分00秒,臺中市西屯區西安里逄甲路262號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.639488,24.174663,西屯區
,107年10月20日 23時56分00秒,臺中市神岡區圳堵里神清路214號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.656965,24.26986,神岡區
,107年11月09日 04時41分00秒,臺中市大雅區文雅里中山北路199巷前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.646524,24.219475,大雅區
,107年11月26日 06時48分00秒,臺中市北屯區陳平里敦化路一段588號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.664721,24.186001,北屯區
,107年12月23日 19時44分00秒,臺中市北屯區舊社里松竹路一段前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.701758,24.181916,北屯區
,107年02月23日 16時00分00秒,臺中市東勢區下新里東蘭路78-6號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人;自用-小客車;自用-小客車,120.820093,24.274157,東勢區
,107年06月11日 21時40分00秒,臺中市新社區中興里興中街前0.0公尺,死亡1;受傷1,自用-小客車;行人-人;其他人-人,120.798567,24.203455,新社區
,107年03月10日 01時42分00秒,臺中市中區中華里臺灣大道一段562號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.676519,24.145325,中區
,107年05月22日 22時45分00秒,臺中市烏日區榮泉里三榮十六路187號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.592824,24.113121,烏日區
,107年07月05日 20時08分00秒,臺中市神岡區庄前里三民南路36號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.656637,24.251089,神岡區
,107年09月05日 10時58分00秒,臺中市大甲區日南里工六路前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.647997,24.40195,大甲區
,107年09月27日 16時29分00秒,臺中市北區新興里雙十路前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.686,24.1461,北區
,107年10月03日 16時20分00秒,臺中市太平區東汴里長龍路四段前0.0公尺,死亡1;受傷1,自用-小客車;普通重型-機車,120.78989,24.100388,太平區
,107年05月16日 00時00分00秒,臺中市外埔區大東里甲后路五段89號前0.0公尺,死亡1;受傷1,自用-小客車;普通重型-機車;乘客-人,120.637046,24.342769,外埔區
,107年01月21日 19時42分00秒,臺中市北區五常里學士路前0.0公尺,死亡1;受傷3,自用-小客車;普通重型-機車;乘客-人;乘客-人,120.681988,24.154253,北區
,107年09月23日 23時40分00秒,臺中市大肚區頂街里萬興路98號前0.0公尺,死亡1;受傷2,自用-小客車;普通重型-機車;普通重型-機車,120.53624,24.167438,大肚區
,107年02月26日 17時00分00秒,臺中市清水區臨江里臨港路七段前0.0公尺,死亡1;受傷0,自用-小客車;普通輕型-機車,120.564523,24.297291,清水區
,107年07月21日 23時56分00秒,臺中市后里區墩北里甲后路二段前0.0公尺,死亡2;受傷0,自用-小客車;電動輔助自行車-慢車;乘客-人,120.701581,24.312456,后里區
,107年05月08日 01時50分48秒,臺中市沙鹿區國道3號 181公里300.0公尺處南側向外側,死亡1;受傷0,自用-小客車;營業用-半聯結車;自用-小貨車(含客、貨兩用),120.593726,24.237133,沙鹿區
,107年04月03日 04時24分00秒,臺中市清水區海濱里港埠路四段前0.0公尺,死亡1;受傷1,自用-小客車;營業用-半聯結車;乘客-人,120.549108,24.281649,清水區
,107年05月05日 10時00分00秒,臺中市和平區博愛里東關路二段前0.0公尺,死亡1;受傷1,自用-小貨車(含客、貨兩用);大型重型1(550C.C.以上)-機車,120.943828,24.167926,和平區
,107年02月27日 04時52分00秒,臺中市北屯區平田里興安路一段前0.0公尺,死亡1;受傷2,自用-小貨車(含客、貨兩用);自用-小客車;普通重型-機車;自用-小客車;乘客-人,120.694614,24.174519,北屯區
,107年02月11日 03時27分00秒,臺中市西區土庫里五權西路前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,120.656956,24.140148,西區
,107年09月06日 11時25分00秒,臺中市新社區福興里豐埔公路前0.0公尺,死亡1;受傷1,自用-小貨車(含客、貨兩用);乘客-人,120.880236,24.124845,新社區
,107年12月18日 05時58分00秒,臺中市大雅區員林里中清路四段70巷口弄前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.64435,24.22714,大雅區
,107年12月27日 16時39分00秒,臺中市東區干城里進德路139號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.692403,24.140461,東區
,107年08月29日 04時42分00秒,臺中市太平區新光里旱溪東路二段前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);營業用-半聯結車,120.704973,24.157845,太平區
,107年11月18日 11時50分00秒,臺中市西區土庫里五權西路一段237號前0.0公尺,死亡1;受傷0,行人-人;自用-小客車,120.657855,24.140009,西區
,107年05月09日 19時36分00秒,臺中市梧棲區南簡里大智路一段983號前0.0公尺,死亡1;受傷1,行人-人;普通重型-機車,120.542188,24.256813,梧棲區
,107年07月18日 16時45分00秒,臺中市中區中華里中華路一段168號前0.0公尺,死亡1;受傷0,行人-人;普通重型-機車;計程車-小客車,120.677875,24.146283,中區
,107年08月11日 11時05分00秒,臺中市東區振興里忠孝路前0.0公尺,死亡1;受傷1,計程車-小客車;行人-人;行人-人,120.685805,24.131202,東區
,107年11月27日 00時10分00秒,臺中市北屯區同榮里環中路一段前0.0公尺,死亡1;受傷0,租賃車-小客車,120.6807,24.2008,北屯區
,107年04月29日 03時38分00秒,臺中市潭子區聚興里環中東路一段588號前0.0公尺,死亡1;受傷0,普通重型-機車,120.718754,24.197023,潭子區
,107年05月14日 06時35分00秒,臺中市西區民龍里臺灣大道二段220號前0.0公尺,死亡1;受傷0,普通重型-機車,120.66875,24.152515,西區
,107年05月27日 22時20分00秒,臺中市清水區東山里神清路2-161號前0.0公尺,死亡1;受傷0,普通重型-機車,120.638002,24.270782,清水區
,107年08月08日 07時10分00秒,臺中市和平區博愛里東關路一段前0.0公尺,死亡1;受傷0,普通重型-機車,121.016001,24.193778,和平區
,107年08月11日 02時15分00秒,臺中市大雅區上楓里民生路三段366號前0.0公尺,死亡1;受傷0,普通重型-機車,120.664152,24.233555,大雅區
,107年09月08日 16時20分00秒,臺中市豐原區豐田里5鄰旱溪西路七段489號前0.0公尺,死亡1;受傷0,普通重型-機車,120.718888,24.231666,豐原區
,107年09月14日 21時20分00秒,臺中市南屯區寶山里嶺東路109之3號前0.0公尺,死亡1;受傷0,普通重型-機車,120.612071,24.150511,南屯區
,107年09月15日 06時44分00秒,臺中市外埔區水美里溪底路前0.0公尺,死亡1;受傷0,普通重型-機車,120.634753,24.316398,外埔區
,107年09月26日 13時27分00秒,臺中市西屯區協和里工業區一路125號前0.0公尺,死亡1;受傷0,普通重型-機車,120.598358,24.173573,西屯區
,107年09月29日 05時39分00秒,臺中市南屯區豐樂里文心南路前0.0公尺,死亡1;受傷0,普通重型-機車,120.64625,24.12567,南屯區
,107年11月20日 16時30分00秒,臺中市西屯區永安里西屯路三段前0.0公尺,死亡1;受傷0,普通重型-機車,120.596499,24.191017,西屯區
,107年12月26日 14時44分00秒,臺中市清水區菁埔里中華北路前0.0公尺,死亡1;受傷0,普通重型-機車,120.602354,24.310363,清水區
,107年11月29日 10時50分00秒,臺中市烏日區九德里建國路前0.0公尺,死亡1;受傷1,普通重型-機車;大型重型2(250-550C.C.)-機車,120.643986,24.116611,烏日區
,107年07月06日 06時52分00秒,臺中市豐原區西安里中山路前0.0公尺,死亡1;受傷0,普通重型-機車;民營公車-大客車,120.715436,24.248251,豐原區
,107年03月04日 07時30分00秒,臺中市北屯區舊社里北屯路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,120.700341,24.179296,北屯區
,107年06月07日 15時44分00秒,臺中市豐原區西勢里中山路前0.0公尺,死亡1;受傷1,普通重型-機車;自用-小客車,120.715018,24.248951,豐原區
,107年07月21日 15時51分00秒,臺中市東勢區茂興里東蘭路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,120.817723,24.277451,東勢區
,107年09月09日 06時00分00秒,臺中市西屯區廣福里中科路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,120.64407,24.201048,西屯區
,107年10月15日 11時46分00秒,臺中市東區東門路28巷前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,120.6955,24.126148,東區
,107年11月17日 21時58分00秒,臺中市大里區金城里文化街59號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車;乘客-人,120.699375,24.089945,大里區
,107年01月12日 14時35分00秒,臺中市豐原區豐圳里圓環西路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.708829,24.25204,豐原區
,107年01月16日 17時29分00秒,臺中市東區東興里大智路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.690342,24.128924,東區
,107年01月19日 00時13分00秒,臺中市太平區光明里環太東路251號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.72505,24.150545,太平區
,107年07月09日 08時07分00秒,臺中市南屯區惠中里向上路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.622245,24.147842,南屯區
,107年10月19日 07時37分00秒,臺中市清水區菁埔里中華北路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.596731,24.305909,清水區
,107年11月26日 18時22分00秒,臺中市西屯區鵬程里大鵬路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-曳引車,120.653835,24.178138,西屯
,107年01月27日 06時15分00秒,臺中市大肚區蔗廍里遊園路二段前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人,120.579781,24.170631,大肚區
,107年10月24日 08時55分00秒,臺中市沙鹿區六路里臺灣大道路六段前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人,120.580429,24.216066,沙鹿區
,107年06月20日 16時42分00秒,臺中市大安區福興里興安路52號前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人,120.60728,24.347468,大安區
,107年07月03日 00時30分00秒,臺中市太平區太平里甲堤路前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人,120.70692,24.128857,太平區
,107年03月31日 03時38分00秒,臺中市北屯區和平里東山路一段308號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車,120.7212,24.176,北屯區
,107年09月06日 09時22分00秒,臺中市大肚區大東里自由路前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車,120.548826,24.146976,大肚區
,107年02月14日 08時00分00秒,臺中市后里區廣福里三豐路三段前0.0公尺,死亡1;受傷2,普通重型-機車;普通重型-機車;自用-小貨車(含客、貨兩用);自用-小客車;自用-小客車;乘客-人,120.723563,24.298088,后里區
,107年09月25日 01時33分00秒,臺中市南屯區永定里永春東七路前0.0公尺,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人,120.633875,24.141415,南屯區
,107年11月23日 17時08分00秒,臺中市大甲區義和里中山路一段前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-半聯結車,120.618184,24.338856,大甲區
,107年06月13日 17時37分00秒,臺中市大肚區福山里王福街1016號前0.0公尺,死亡1;受傷0,普通輕型-機車,120.564855,24.126785,大肚區
,107年11月20日 10時30分00秒,臺中市潭子區東寶里雅潭路三段2號前0.0公尺,死亡1;受傷0,普通輕型-機車;自用-小貨車(含客、貨兩用),120.684848,24.216224,潭子區
,107年07月23日 03時22分00秒,臺中市烏日區國道1號 187公里600.0公尺處北側向外側,死亡1;受傷0,腳踏自行車-慢車;民營客運-大客車,120.592947,24.115806,烏日區
,107年06月07日 08時29分00秒,臺中市神岡區岸裡里大洲路311號前0.0公尺,死亡1;受傷0,營業用-大貨車;自用-小客車,120.696569,24.25311,神岡區
,107年06月21日 10時08分00秒,臺中市北屯區仁美里台74線快速公路前0.0公尺,死亡1;受傷1,營業用-大貨車;自用-小貨車(含客、貨兩用),120.64971,24.196953,北屯區
,107年11月28日 14時10分00秒,臺中市龍井區福田里臨港東路二段345號前0.0公尺,死亡1;受傷0,營業用-大貨車;普通重型-機車,120.513111,24.196843,龍井區
,107年03月12日 16時25分00秒,臺中市大雅區文雅里中清路三段前0.0公尺,死亡1;受傷0,營業用-大貨車;腳踏自行車-慢車,120.646564,24.222718,大雅區
,107年12月04日 09時34分00秒,臺中市烏日區五光里環河路一段前0.0公尺,死亡1;受傷0,營業用-小貨車(含客、貨兩用);普通重型-機車,120.646061,24.092526,烏日區
,107年12月24日 16時09分50秒,臺中市龍井區國道3號 184公里500.0公尺處北側向爬坡,死亡1;受傷0,營業用-半聯結車;自用-大貨車,120.552464,24.185589,龍井區
,107年10月12日 16時09分00秒,臺中市龍井區忠和里臨港路二段65號前0.0公尺,死亡1;受傷0,營業用-半聯結車;普通重型-機車,120.509776,24.219768,龍井區
,107年08月08日 12時57分00秒,臺中市北屯區新平里大鵬路前0.0公尺,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.659733,24.178148,北屯區
,107年12月28日 19時45分00秒,臺中市梧棲區台灣大道十段與中二路口,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.523242,24.254541,梧棲區
,107年06月29日 17時00分00秒,臺中市大雅區雅楓里民生路三段295號前0.0公尺,死亡1;受傷0,營業用-曳引車;腳踏自行車-慢車,120.66212,24.232677,大雅區
